wkt_geom;generator:source;generator:output
Point (8.9796004000000007 54.26997360000000015);wind;850
Point (8.9633629999999993 54.26899099999999976);wind;850
Point (8.97844000000000086 54.27181699999999864);wind;850
Point (8.97606640000000056 54.26984449999999782);wind;850
Point (8.99188690000000079 54.29343300000000028);wind;850
Point (9.10698099999999933 54.52524999999999977);wind;2
Point (9.00204399999999971 54.29636299999999949);wind;850
Point (8.9960830000000005 54.28845400000000154);wind;850
Point (8.96060100000000048 54.26785799999999682);wind;850
Point (8.9534950000000002 54.2647270000000006);wind;850
Point (8.95849600000000024 54.26897999999999911);wind;850
Point (8.95398400000000017 54.26713600000000071);wind;850
Point (8.96267100000000028 54.27051000000000158);wind;850
Point (8.95349000000000039 54.26890699999999867);wind;850
Point (10.35313060000000007 54.36442949999999996);wind;1.65
Point (9.27767099999999978 53.78919900000000354);wind;1500
Point (9.14936600000000055 54.45830399999999827);wind;1.65
Point (8.94158370000000069 53.93186690000000283);wind;
Point (9.42634299999999925 54.54081200000000251);wind;850
Point (9.14380200000000087 54.45961400000000197);wind;1.65
Point (9.15141500000000008 54.46190500000000156);wind;1.65
Point (9.14503099999999947 54.46256900000000201);wind;1.65
Point (9.15768040000000028 54.46199699999999666);wind;1.65
Point (9.15575669999999953 54.45941520000000224);wind;1.65
Point (8.9696523999999993 54.16461230000000171);wind;660
Point (8.96956690000000023 54.16151599999999888);wind;660
Point (10.8031442000000002 53.95110119999999654);wind;1650
Point (11.01416399999999918 54.33298849999999902);wind;1.65
Point (9.66784099999999924 54.60321499999999872);wind;660
Point (9.66990000000000016 54.6088930000000019);wind;660
Point (9.65982999999999947 54.60567700000000002);wind;660
Point (9.66844900000000074 54.60636600000000129);wind;660
Point (9.01391300000000051 54.5926990000000032);wind;2
Point (9.41519390000000023 54.54438280000000105);wind;660
Point (9.42527300000000068 54.52120599999999939);wind;660
Point (9.01713499999999968 54.59881899999999888);wind;2
Point (9.02623780000000053 54.16973629999999673);wind;660
Point (9.02004699999999993 54.16472679999999684);wind;660
Point (9.02336659999999924 54.16457239999999729);wind;660
Point (9.01583130000000033 54.16408179999999817);wind;660
Point (9.0173842000000004 54.16291780000000244);wind;660
Point (9.01895990000000047 54.16625909999999777);wind;660
Point (8.93632120000000008 54.3926275999999973);wind;2
Point (8.94766500000000065 54.39474599999999782);wind;2
Point (8.95935300000000012 54.39666499999999871);wind;2
Point (8.93437879999999929 54.39472560000000101);wind;2
Point (8.95668599999999948 54.39877599999999802);wind;2
Point (8.9447189999999992 54.39778199999999941);wind;2
